Day,Flow Music XP,Samsung,Alternative,Perry’s
1,Lucia Tacchetti,,Alejo y Valentin,
1,,Feli Colina,,DJ Sky
1,Maye,,Cimafunk,Ms Nina
1,,La Delio Valdez,Axel Fiks,
1,J mena,,Two Feet,Dani
1,,Yungblud,,Fuego
1,Nathy Peluso,,AJR,Kaydy Cain
1,,WOS,,Boombox Cartel
1,DUKI,,LP,
1,,Rita Ora,,Louta
1,Brockhampton,,King Princess,Bizarrap
1,,Los Fabulosos Cadillacs,,Denzel Curry
1,Travis Scott,,A Day to Remember,Madeon
1,,Martin Garrix,,
2,LIMON,,Paco Leiva,
2,,Ainda,,Louly
2,Las Ligas Menores,,Girl Ultra,
2,,Wallows,,Ghetto Kids
2,Fabiana Cantilo,,Amaia,D3FAI
2,,Kali Uchis,,Trueno
2,El Mató a un Policía Motorizado,,Zoe Gotusso,Yung Beef
2,,Litto Nebbia,,Paloma Mami
2,Charli XCX,,Emmanuel Horvilleur,
2,,Ratones Paranoicos,,Rels B
2,Vampire Weekend,,Kacey Musgraves,Jaden Smith
2,,Gwen Stefani,,R3HAB
2,The Strokes,,Hayley Kiyoko,ILLENIUM
2,,Armin Van Buuren,,
3,El Buen Salvaje,,Miranda Johansen,
3,,Florian,,Reydel
3,The Hu,,Elsa y Elmar,DABOW
3,,Idles,Natalie Perez,Metro Live
3,Perry Farrell’s Kind Heaven Orchestra,,,Emilia
3,,Lauv,Masego,
3,Airbag,,MIKA,Goldfish
3,,The Lumineers,,YSY A
3,Cage the Elephant,,Rex Orange County,Pabllo Vittar
3,,Lana del Rey,,San Holo
3,Guns N’ Roses,,James Blake,Chris Lake
3,Guns N’ Roses,,,Rezz
3,,Alan Walker,,
